дата выпуска;№ выпуска;ниша;№ компании;компания;домен;домен подтверждён;тип;источник URL;дата проверки;примечание
04.10.2026;4;Ремонт квартир;12;Proff-ремонт;irkutsk.proff-remont.ru;неподтв.;федеральная сеть / городской поддомен;https://irkutsk.proff-remont.ru/;2026-09-25;название выведено из домена
07.10.2026;5;Окна и остекление балконов;1;Новые технологии-сервис (НТС);nts-okna.ru;да;местная;https://nts-okna.ru/;2026-09-25;
07.10.2026;5;Окна и остекление балконов;2;Элит Лайн;gcel.ru;да;местная;https://gcel.ru/;2026-09-25;
07.10.2026;5;Окна и остекление балконов;3;Фенстер;f-okna.ru;да;местная;https://f-okna.ru/;2026-09-25;Иркутск и Улан-Удэ
07.10.2026;5;Окна и остекление балконов;4;Система;systemairk.ru;неподтв.;местная;https://systemairk.ru/;2026-09-25;название из сводки поиска
07.10.2026;5;Окна и остекление балконов;5;Всёвдом;irkutsk.vsevdom.info;да;федеральная сеть / городской поддомен;https://irkutsk.vsevdom.info/windows/balcony;2026-09-25;
07.10.2026;5;Окна и остекление балконов;6;ЭСС окна (название не установлено);irkutsk.essokna.ru;неподтв.;федеральная сеть / городской поддомен;https://irkutsk.essokna.ru/;2026-09-25;название в выдаче не указано
07.10.2026;5;Окна и остекление балконов;7;Элит-пласт;—;нет домена;местная;поиск «пластиковые окна Иркутск компания остекление балконов», сводка;2026-09-25;название только в сводке
07.10.2026;5;Окна и остекление балконов;8;Балкон Центр;—;нет домена;местная;поиск «пластиковые окна Иркутск компания остекление балконов», сводка;2026-09-25;название только в сводке
07.10.2026;5;Окна и остекление балконов;9;Окна века;—;нет домена;местная;поиск «пластиковые окна Иркутск компания остекление балконов», сводка;2026-09-25;название только в сводке
07.10.2026;5;Окна и остекление балконов;10;Азимут;азимут-иркутск.рф;да;местная;https://xn----7sbvebmam2blgehf.xn--p1ai/;2026-09-25;также 2ГИС: https://2gis.ru/irkutsk/firm/1548640653186014
07.10.2026;5;Окна и остекление балконов;11;Мультифрейм;—;нет домена;местная;https://oknaorg.ru/irkutsk/company/list;2026-09-25;название из сводки по рейтингу oknaorg
07.10.2026;5;Окна и остекление балконов;12;Фабрика окон и дверей;—;нет домена;местная;https://2gis.ru/irkutsk/firm/1548640653059819/tab/info;2026-09-25;
10.10.2026;6;Автосервисы;1;Автоцентр Кузьмиха;kuzmiha.ru;да;местная;https://kuzmiha.ru/service/diagnostics-engine/;2026-09-25;
10.10.2026;6;Автосервисы;2;СТО Фильтр;stofilter.ru;да;федеральная сеть / городской поддомен;https://stofilter.ru/irkutsk/services/zamena-masla-v-dvigatele/;2026-09-25;источник: research-mehanika/03-nablyudeniya.md (прогон WebSearch 25.09.2026)
10.10.2026;6;Автосервисы;3;Автосервис на autoservice138.ru (название не установлено);autoservice138.ru;неподтв.;местная;autoservice138.ru (URL в research-mehanika/03-nablyudeniya.md (прогон WebSearch 25.09.2026));2026-09-25;название в выдаче не указано
10.10.2026;6;Автосервисы;4;Автосервис ИП Мартынов А.Г.;akpp-irk.ru;да;местная;https://akpp-irk.ru/services/remont-i-diagnostika-dvs/;2026-09-25;
10.10.2026;6;Автосервисы;5;ДАС;das38.ru;да;местная;das38.ru (URL в research-mehanika/03-nablyudeniya.md (прогон WebSearch 25.09.2026));2026-09-25;адрес ул. Байкальская, 295 А — из сводки
10.10.2026;6;Автосервисы;6;Просто сервис;prosto38.ru;да;местная;https://prosto38.ru/uslugi-servisa/slesarnyj-remont/diagnostika-i-remont-dvs/kompleksnaya-diagnostika-dvs/;2026-09-25;
10.10.2026;6;Автосервисы;7;Егрофф;xn--c1adkhfqnrd2c3cu.xn--p1ai;неподтв.;местная;https://xn--c1adkhfqnrd2c3cu.xn--p1ai/diagnostika;2026-09-25;кириллический домен при декодировании не совпадает с названием — проверить вручную
10.10.2026;6;Автосервисы;8;СТО «Гена»;stogena.ru;да;местная;https://stogena.ru/;2026-09-25;
10.10.2026;6;Автосервисы;9;Автосервис по ремонту АКПП (ул. Баррикад, 90Б);—;нет домена;местная;https://2gis.ru/irkutsk/firm/1548640653118896/tab/reviews;2026-09-25;
10.10.2026;6;Автосервисы;10;Мастер АКПП;—;нет домена;местная;https://irkutsk.flamp.ru/firm/master_akpp_ooo_remontnaya_masterskaya-70000001006726256;2026-09-25;
10.10.2026;6;Автосервисы;11;Агрегатка (АКПП38);akpp38.agregatka.ru;неподтв.;федеральная сеть / городской поддомен;https://akpp38.agregatka.ru/;2026-09-25;название выведено из домена
10.10.2026;6;Автосервисы;12;А-Бренд;—;нет домена;местная;research-mehanika/03-nablyudeniya.md (прогон WebSearch 25.09.2026), запрос №11, сводка;2026-09-25;название и телефон только в сводке
13.10.2026;7;Юристы;1;Бизнес-Юрист;irkutsk.businessurist.ru;да;федеральная сеть / городской поддомен;https://irkutsk.businessurist.ru/;2026-09-25;также карточка 2ГИС в research-mehanika/03-nablyudeniya.md (прогон WebSearch 25.09.2026)
13.10.2026;7;Юристы;2;Оригинальное решение;irkutsk.originalnoe-reshenie.ru;да;федеральная сеть / городской поддомен;https://irkutsk.originalnoe-reshenie.ru/uslugi/yuridicheskim-litsam/konsultatsiya-arbitrazhnogo-yurista/;2026-09-25;
13.10.2026;7;Юристы;3;Регард;regardkonsult.ru;да;местная;https://regardkonsult.ru/biznes-yurist/;2026-09-25;
13.10.2026;7;Юристы;4;Эксперт-Юрист;ekspert-jurist.ru;да;местная;https://ekspert-jurist.ru/;2026-09-25;
13.10.2026;7;Юристы;5;Юрцентр «Право» (название по домену);irkutsk.urcenterpravo.ru;неподтв.;федеральная сеть / городской поддомен;https://irkutsk.urcenterpravo.ru/;2026-09-25;
13.10.2026;7;Юристы;6;Сибирская юридическая компания;—;нет домена;местная;поиск «юрист Иркутск юридическая компания консультация развод ДТП», сводка (2ГИС);2026-09-25;адрес ул. Напольная, 59 — из сводки
13.10.2026;7;Юристы;7;Юрист по ДТП Иркутск;юристподтп-иркутск.рф;неподтв.;местная;https://xn----gtblckaxhcfhfifdfq8p.xn--p1ai/;2026-09-25;название по title
13.10.2026;7;Юристы;8;Делу время;иркутск.делу-время.рф;да;федеральная сеть / городской поддомен;иркутск.делу-время.рф/uslugi/bankrotstvo-fizicheskikh-lits/ (URL в research-mehanika/03-nablyudeniya.md (прогон WebSearch 25.09.2026));2026-09-25;
13.10.2026;7;Юристы;9;Полезный юрист;irkutsk.polezniy-yurist.ru;да;федеральная сеть / городской поддомен;irkutsk.polezniy-yurist.ru (URL в research-mehanika/03-nablyudeniya.md (прогон WebSearch 25.09.2026));2026-09-25;
13.10.2026;7;Юристы;10;БанкротКонсалт;irkutsk.bankrotconsult.ru;да;федеральная сеть / городской поддомен;irkutsk.bankrotconsult.ru (URL в research-mehanika/03-nablyudeniya.md (прогон WebSearch 25.09.2026));2026-09-25;
13.10.2026;7;Юристы;11;Центр-юрист (название по домену);center-urist.ru;неподтв.;местная;https://center-urist.ru/Arbitrazh;2026-09-25;принадлежность к Иркутску — по title страницы
13.10.2026;7;Юристы;12;Единый центр (название по домену);edin.center;неподтв.;федеральная сеть / городской поддомен;edin.center/irkutsk/bankrotstvo-fizicheskih-lic (URL в research-mehanika/03-nablyudeniya.md (прогон WebSearch 25.09.2026));2026-09-25;
16.10.2026;8;Туризм на Байкал;1;Baikal Nord;baikal-nord.ru;да;местная;https://baikal-nord.ru/search-tours/ostrov-olhon;2026-09-25;
16.10.2026;8;Туризм на Байкал;2;Байкал-Экстрим;baikal-extreme.com;да;местная;https://baikal-extreme.com/tury;2026-09-25;
16.10.2026;8;Туризм на Байкал;3;Baikal-Green;baikal-green.ru;да;местная;https://baikal-green.ru/catalog/oneday-tours/;2026-09-25;также в research-mehanika/03-nablyudeniya.md (прогон WebSearch 25.09.2026)
16.10.2026;8;Туризм на Байкал;4;КроссТур;crosstour38.ru;да;местная;https://crosstour38.ru/;2026-09-25;
16.10.2026;8;Туризм на Байкал;5;Байкал Терра;baikalterra.com;да;местная;https://baikalterra.com/turyi-na-bajkal/winter-tours-baikal-2017/;2026-09-25;
16.10.2026;8;Туризм на Байкал;6;BaikalNova;baikalnova.ru;да;местная;https://baikalnova.ru/ledirkutsk/;2026-09-25;
16.10.2026;8;Туризм на Байкал;7;Весь Байкал;topbaikal.ru;да;местная;https://topbaikal.ru/;2026-09-25;также в research-mehanika/03-nablyudeniya.md (прогон WebSearch 25.09.2026)
16.10.2026;8;Туризм на Байкал;8;Байкалика;baikalika.ru;да;местная;https://www.baikalika.ru/tours/winter/;2026-09-25;принадлежность к Иркутску не проверял
16.10.2026;8;Туризм на Байкал;9;VeraBaikalHotel;verabaikalhotel.com;да;местная;https://verabaikalhotel.com/;2026-09-25;отель, Листвянка
16.10.2026;8;Туризм на Байкал;10;Отель «Маяк»;mayakhotel.ru;да;местная;https://mayakhotel.ru/;2026-09-25;отель, Листвянка
16.10.2026;8;Туризм на Байкал;11;Отель «Легенда Байкала»;legend-of-baikal.ru;да;местная;https://legend-of-baikal.ru/;2026-09-25;отель, Листвянка
16.10.2026;8;Туризм на Байкал;12;Отель «Созвездие Байкала»;starbaik.ru;да;местная;https://starbaik.ru/;2026-09-25;отель, Листвянка
19.10.2026;9;Кадастр (кадастровые инженеры, межевание);1;МК Кадастр;mk-kadastr.ru;да;местная;https://mk-kadastr.ru/;2026-09-25;
19.10.2026;9;Кадастр (кадастровые инженеры, межевание);2;ЮРКАД38;yurkad38.ru;да;местная;https://yurkad38.ru/;2026-09-25;название из сводки поиска
19.10.2026;9;Кадастр (кадастровые инженеры, межевание);3;БТИ Иркутск (название по сводке);btiirk.ru;неподтв.;местная;https://btiirk.ru/;2026-09-25;возможен дубль с «БТИ г. Иркутска» из 2ГИС — проверить
19.10.2026;9;Кадастр (кадастровые инженеры, межевание);4;Кадастр38 (название по домену);kadastr38.ru;неподтв.;местная;https://kadastr38.ru/uslugi/kadastrovye-raboty/;2026-09-25;
19.10.2026;9;Кадастр (кадастровые инженеры, межевание);5;Кампрок (название по домену);irkutsk.kamprok.ru;неподтв.;федеральная сеть / городской поддомен;https://irkutsk.kamprok.ru/kadastrovye-raboty;2026-09-25;
19.10.2026;9;Кадастр (кадастровые инженеры, межевание);6;Кадуслуги.рф;кадуслуги.рф;неподтв.;федеральная сеть / городской поддомен;https://xn--80agcrgi5bpc.xn--p1ai/service/Irkutsk_kadastrovyj-inzhener;2026-09-25;
19.10.2026;9;Кадастр (кадастровые инженеры, межевание);7;ГК «ВЕРСТА»;—;нет домена;местная;поиск «кадастровый инженер Иркутск межевание земельного участка компания», сводка;2026-09-25;название только в сводке
19.10.2026;9;Кадастр (кадастровые инженеры, межевание);8;ТПК «Панорама»;—;нет домена;местная;поиск «кадастровый инженер Иркутск межевание земельного участка компания», сводка;2026-09-25;название только в сводке
19.10.2026;9;Кадастр (кадастровые инженеры, межевание);9;БТИ г. Иркутска (ул. Дзержинского, 32а);—;нет домена;местная;https://2gis.ru/irkutsk/firm/1548640653231562/tab/prices;2026-09-25;возможен дубль с btiirk.ru
19.10.2026;9;Кадастр (кадастровые инженеры, межевание);10;kadastrovye-raboty.ru (название не установлено);kadastrovye-raboty.ru;неподтв.;федеральная сеть / городской поддомен;https://kadastrovye-raboty.ru/irkutsk.html;2026-09-25;
19.10.2026;9;Кадастр (кадастровые инженеры, межевание);11;[нужно от владельца: добрать компанию];;;;;;
19.10.2026;9;Кадастр (кадастровые инженеры, межевание);12;[нужно от владельца: добрать компанию];;;;;;
22.10.2026;10;Натяжные потолки;1;Потолковый;irkutsk.potolochnik24.ru;да;федеральная сеть / городской поддомен;https://irkutsk.potolochnik24.ru/;2026-09-25;
22.10.2026;10;Натяжные потолки;2;Антураж;anturage38.ru;да;местная;https://anturage38.ru/;2026-09-25;
22.10.2026;10;Натяжные потолки;3;natpotolok (название по домену);irkutsk.natpotolok.ru;неподтв.;федеральная сеть / городской поддомен;https://irkutsk.natpotolok.ru/;2026-09-25;
22.10.2026;10;Натяжные потолки;4;Всёвдом;irkutsk.vsevdom.info;да;федеральная сеть / городской поддомен;https://irkutsk.vsevdom.info/ceilings/species;2026-09-25;та же компания, что в выпуске «окна»
22.10.2026;10;Натяжные потолки;5;Натяжные-потолки24.рф;иркутск.натяжные-потолки24.рф;неподтв.;федеральная сеть / городской поддомен;https://xn--h1aeawgfg.xn---24-5cdzfqpipcoam4bg2mvc.xn--p1ai/;2026-09-25;
22.10.2026;10;Натяжные потолки;6;VIP Ceiling (название по домену);vipceiling.ru;неподтв.;федеральная сеть / городской поддомен;vipceiling.ru/irkutsk/price/ (URL в research-mehanika/03-nablyudeniya.md (прогон WebSearch 25.09.2026));2026-09-25;
22.10.2026;10;Натяжные потолки;7;ОтПрофи потолки;irkutsk.otproffi-potolki.ru;неподтв.;федеральная сеть / городской поддомен;https://irkutsk.otproffi-potolki.ru/;2026-09-25;
22.10.2026;10;Натяжные потолки;8;Глянец;potolki-irkutska.ru;да;местная;https://potolki-irkutska.ru/ceny;2026-09-25;
22.10.2026;10;Натяжные потолки;9;Потолочек (название по домену);irk.potolochek.su;неподтв.;федеральная сеть / городской поддомен;irk.potolochek.su/prices (URL в research-mehanika/03-nablyudeniya.md (прогон WebSearch 25.09.2026));2026-09-25;
22.10.2026;10;Натяжные потолки;10;potolki-natyazhniye.ru (название не установлено);irkutsk.potolki-natyazhniye.ru;неподтв.;федеральная сеть / городской поддомен;https://irkutsk.potolki-natyazhniye.ru/;2026-09-25;
22.10.2026;10;Натяжные потолки;11;Моипотолки.рф (название по домену);моипотолки.рф;неподтв.;федеральная сеть / городской поддомен;https://xn--h1aafddmbah5a.xn--p1ai/irkutsk;2026-09-25;
22.10.2026;10;Натяжные потолки;12;[нужно от владельца: добрать компанию];;;;;;
25.10.2026;11;Аренда спецтехники — повтор выпуска №1 через месяц;1;Бобкэт Центр;bc-irkutsk.ru;да;местная;прогон Радара 25.09.2026 (barometr/vypusk-1.md);2026-09-25;измерен в выпуске №1
25.10.2026;11;Аренда спецтехники — повтор выпуска №1 через месяц;2;СпецЛидер;sl38.ru;да;местная;прогон Радара 25.09.2026 (barometr/vypusk-1.md);2026-09-25;измерен в выпуске №1
25.10.2026;11;Аренда спецтехники — повтор выпуска №1 через месяц;3;ООО «Спец-Кран»;irkutsk.spectehnika-kran.ru;да;федеральная сеть / городской поддомен;irkutsk.spectehnika-kran.ru (URL в research-mehanika/03-nablyudeniya.md (прогон WebSearch 25.09.2026));2026-09-25;
25.10.2026;11;Аренда спецтехники — повтор выпуска №1 через месяц;4;Транспортсиб;transportsib.ru;да;местная;transportsib.ru/services/arenda-specztexniki-2/avtokranyi/ (URL в research-mehanika/03-nablyudeniya.md (прогон WebSearch 25.09.2026));2026-09-25;
25.10.2026;11;Аренда спецтехники — повтор выпуска №1 через месяц;5;КранРФ (название по домену);irkutsk.kranrf.ru;неподтв.;федеральная сеть / городской поддомен;irkutsk.kranrf.ru (URL в research-mehanika/03-nablyudeniya.md (прогон WebSearch 25.09.2026));2026-09-25;в title московский номер +7 (926)
25.10.2026;11;Аренда спецтехники — повтор выпуска №1 через месяц;6;Экскаватор-Иркутск.ру;ekskavator-irkutsk.ru;да;местная;https://ekskavator-irkutsk.ru/;2026-09-25;в сводке связан с «АЛЬФАСПЕЦТЕХНИКА» — связь не подтверждена
25.10.2026;11;Аренда спецтехники — повтор выпуска №1 через месяц;7;БуроВЕК;burovek.ru;да;местная;https://burovek.ru/uslugi-spetstekhniki/uslugi-ehkskavatora/;2026-09-25;
25.10.2026;11;Аренда спецтехники — повтор выпуска №1 через месяц;8;ООО «СибНедра»;sibnedra.su;да;местная;https://sibnedra.su/catalog/arenda-ekskavatora-pogruzchika.html;2026-09-25;
25.10.2026;11;Аренда спецтехники — повтор выпуска №1 через месяц;9;Тандем;irkutsk.trade-services.ru;неподтв.;федеральная сеть / городской поддомен;https://irkutsk.trade-services.ru/services/uslugi-spectekhniki/ekskavatory-pogruzchiki/;2026-09-25;"по title; возможно, каталог, а не компания"
25.10.2026;11;Аренда спецтехники — повтор выпуска №1 через месяц;10;Аренда-спецтехники-иркутск.рф;аренда-спецтехники-иркутск.рф;неподтв.;местная;https://xn-----6kcatfda1aabvda7af5amoklmjx5bx.xn--p1ai/;2026-09-25;
25.10.2026;11;Аренда спецтехники — повтор выпуска №1 через месяц;11;Спец в деле;specvdele.ru;да;местная;https://specvdele.ru/arenda-spectekhniki;2026-09-25;
25.10.2026;11;Аренда спецтехники — повтор выпуска №1 через месяц;12;Бульдозер-Иркутск.ру;buldozer-irkutsk.ru;да;местная;https://buldozer-irkutsk.ru/;2026-09-25;
