запрос;система;дата;кто в ответе;источники;чем отличаются победители
купить саженцы яблони с доставкой;ChatGPT;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
купить саженцы яблони с доставкой;GigaChat;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
имплантация зубов Иркутск цена;"WebSearch (поиск инструмента агента; не Яндекс, не Алиса; вероятно не российский индекс)";2026-09-25;"«от ~20 000 ₽»; система Riellen 29 900 / AnyOne 44 900 / Straumann 58 900 ₽; Стоматология №1 от 31 900; Вайс Вита от 32 000 (в title той же страницы — от 18 000); коронки от 54 600 / 65 000 ₽";"32top.ru/irkutsk; prodoctorov.ru/irkutsk; альдента.рф; newsmile.clinic; radixstom.ru; medalist-stom.ru; 1stomatologia.ru; vais-vitairk.ru; stom-dental.ru";"7 из 9 — посадочные страницы клиник с прайсом по брендам имплантов; 2 агрегатора-рейтинга с числом клиник и ценой «от» в title; в сводке противоречие цены Вайс Вита (18 000 в title vs 32 000)"
имплантация зубов Иркутск цена;Алиса (Поиск с Алисой / Алиса AI);2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
имплантация зубов Иркутск цена;ChatGPT;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
имплантация зубов Иркутск цена;GigaChat;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
ремонт холодильников на дому Иркутск;"WebSearch (поиск инструмента агента; не Яндекс, не Алиса; вероятно не российский индекс)";2026-09-25;"Myguru; РемонтГис (гарантия до 12 мес., диагностика бесплатно); «Умелец» (+7 (3952) 26-55-84, от 350 ₽); РБТ-сервис24 («на 30% ниже»); служба Тандем (приезд за 1 час)";"irkutsk.myguru.ru; irkutsk.remontgis.ru; irkutsk.holodilnikok.ru; rbt-service24.ru; holodirkutsk.ru; holod-irk.ru; irkutsk.service-centers.ru; irkutsk.trade-services.ru; irkutsk.servisiremont.ru";"6 из 9 — городские поддомены сетевых сервисов/агрегаторов; в сниппетах УТП: гарантия, выезд в день звонка, цена «от», бесплатная диагностика, телефон"
ремонт холодильников на дому Иркутск;Алиса (Поиск с Алисой / Алиса AI);2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
ремонт холодильников на дому Иркутск;ChatGPT;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
ремонт холодильников на дому Иркутск;GigaChat;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
натяжные потолки Иркутск цена за м2;"WebSearch (поиск инструмента агента; не Яндекс, не Алиса; вероятно не российский индекс)";2026-09-25;"от 179 / от 160 / от 250 ₽/м² (разные минимумы); Антураж от 350; «Премиум» от 599; с трековыми светильниками от 290 ₽/м²; бесплатный замер";"иркутск.натяжные-потолки24.рф (2 стр.); irkutsk.potolochnik24.ru (2 стр.); anturage38.ru; vipceiling.ru/irkutsk; irkutsk.otproffi-potolki.ru; potolki-irkutska.ru/ceny; irk.potolochek.su/prices";"9 из 9 — сайты подрядчиков, из них 5 — отдельные страницы /price, /ceny, /prices; цена за м² в title; 2 домена дали по 2 страницы"
натяжные потолки Иркутск цена за м2;Алиса (Поиск с Алисой / Алиса AI);2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
натяжные потолки Иркутск цена за м2;ChatGPT;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
натяжные потолки Иркутск цена за м2;GigaChat;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
доставка суши Иркутск;"WebSearch (поиск инструмента агента; не Яндекс, не Алиса; вероятно не российский индекс)";2026-09-25;"Фарфор (+7 (3952) 93-77-11, за 1 час); Суши Мастер; Сан Суши; Tenno Sushi (166 позиций); Пряников; Суши Ленд (бесплатно от 600 ₽); Ёбидоёби";"irkutsk.farfor.ru; irkutsk.sushi-master.ru; chibbis.ru/irkutsk; irkutsk.san-sushi.ru (2 стр.); tenno-sushi.ru; pryanikov38.ru; sushi-land38.ru; irkutsk.yobidoyobi.ru";"федеральные франшизы с городскими поддоменами (4 бренда) + 3 локальные сети; 1 агрегатор доставки; в сниппетах условия доставки, время, телефон"
доставка суши Иркутск;Алиса (Поиск с Алисой / Алиса AI);2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
доставка суши Иркутск;ChatGPT;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
доставка суши Иркутск;GigaChat;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
юрист по банкротству физических лиц Иркутск;"WebSearch (поиск инструмента агента; не Яндекс, не Алиса; вероятно не российский индекс)";2026-09-25;"Бизнес-Юрист (ул. Советская, 140, 09:00–18:00 — из карточки 2ГИС); Профи.ру (от 5070 ₽); «Полезный юрист»; справка о 127-ФЗ";"2gis.ru/irkutsk/firm (карточка); profi.ru/geo-irkutsk; иркутск.делу-время.рф; allbankrot.ru/region/irkutsk; edin.center/irkutsk; irkutsk.bankrotconsult.ru; irkutsk.polezniy-yurist.ru; irk.b-urist.ru; bankrotstvo-476.ru/region/irkutsk";"карточка организации 2ГИС на 1-м месте и единственный источник адреса и часов в сводке; 9 из 9 URL содержат город; рейтинг-страница; цены «от» и «в рассрочку» в title"
юрист по банкротству физических лиц Иркутск;Алиса (Поиск с Алисой / Алиса AI);2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
юрист по банкротству физических лиц Иркутск;ChatGPT;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
юрист по банкротству физических лиц Иркутск;GigaChat;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
экскурсия на Ольхон из Иркутска цена;"WebSearch (поиск инструмента агента; не Яндекс, не Алиса; вероятно не российский индекс)";2026-09-25;"от 10 000 ₽; от 8500; от 11 000/12 500/13 000; 11 000 взрослые / 9500 дети; круглый год (паром летом, лёд зимой)";"putevka.com (2 стр.); bolshayastrana.com; experience.tripster.ru (страница с ценами 2024 г.); extraguide.ru; ticketstour.ru; snovatrip.ru; baikal-green.ru; topbaikal.ru";"7 из 9 — агрегаторы/маркетплейсы экскурсий; год (2026) в title у 5 страниц; одна устаревшая страница (2024, «от 200 руб.»); у 2 местных операторов — подробная программа"
экскурсия на Ольхон из Иркутска цена;Алиса (Поиск с Алисой / Алиса AI);2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
экскурсия на Ольхон из Иркутска цена;ChatGPT;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
экскурсия на Ольхон из Иркутска цена;GigaChat;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
грузоперевозки Иркутск Москва стоимость;"WebSearch (поиск инструмента агента; не Яндекс, не Алиса; вероятно не российский индекс)";2026-09-25;"от 680 ₽ и одновременно «минимальная от 800 ₽»; 4202 км; межтерминальная и «от двери до двери»; ПЭК +7 (495) 660-11-11; ПЭК, ЖДЭ, Возовоз";"pecom.ru (2 стр., оба направления); irkutsk.jde.ru; vozovoz.ru (2 стр.); eastlines.ru; груз-доставка.рф; gryzoperevozki.com; tlkregion.ru";"9 из 9 — сайты ТК со страницами маршрутов «город-город» (программно сгенерированные); цена «от» в title; калькулятор; в сводке два разных минимума"
грузоперевозки Иркутск Москва стоимость;Алиса (Поиск с Алисой / Алиса AI);2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
грузоперевозки Иркутск Москва стоимость;ChatGPT;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
грузоперевозки Иркутск Москва стоимость;GigaChat;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
замена масла в двигателе автосервис Иркутск;"WebSearch (поиск инструмента агента; не Яндекс, не Алиса; вероятно не российский индекс)";2026-09-25;"СТО Фильтр; Автоцентр Кузьмиха (800 тыс. замен с 1993 г.); А-Бренд (+7 (3952) 68-13-33, 9–20); ДАС Автосервис (ул. Байкальская, 295А, 9–19); цены 250–2000 ₽ (источник не указан)";"stofilter.ru/irkutsk; 2gis.ru/irkutsk (рубрика); irkutsk.avtotochki.ru; kuzmiha.ru; irkutsk.gdeservisy.ru; autoservice138.ru; akpp-irk.ru; das38.ru; prosto38.ru";"3 агрегатора + 6 страниц услуг автосервисов; в сводку попали те, у кого на странице адрес, телефон и часы (NAP) и конкретный факт-«доказательство» (800 тыс. замен)"
замена масла в двигателе автосервис Иркутск;Алиса (Поиск с Алисой / Алиса AI);2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
замена масла в двигателе автосервис Иркутск;ChatGPT;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
замена масла в двигателе автосервис Иркутск;GigaChat;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
купить пластиковые окна недорого Москва;"WebSearch (поиск инструмента агента; не Яндекс, не Алиса; вероятно не российский индекс)";2026-09-25;"Лемана ПРО (от 2575 ₽); Окна Роста; Московские окна; Окно-Москва (от 8680 с установкой); Окна Завод (с 2012 г.); Окна-Москва (Rehau, Melke)";"lemanapro.ru; oknarosta.ru; mosokna.ru; okno-moskva.ru; okna-zavod.com; oknaprosvet.ru; eurookna.ru; okna-moscow.ru (2 стр.)";"9 из 9 — сайты производителей/ритейлера, агрегаторов нет; цена «от» в title у 3; сводка на английском"
купить пластиковые окна недорого Москва;Алиса (Поиск с Алисой / Алиса AI);2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
купить пластиковые окна недорого Москва;ChatGPT;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
купить пластиковые окна недорого Москва;GigaChat;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
онлайн курсы английского для детей;"WebSearch (поиск инструмента агента; не Яндекс, не Алиса; вероятно не российский индекс)";2026-09-25;"Skillbox; Skyeng; Skysmart; UFirst; AMAkids; Puzzle English; + бесплатные ресурсы";"eng.skillbox.ru; itgen.io; skyeng.ru; englex.ru (рейтинг «топ-20»); english.skysmart.ru; ufirst.ru; amakids.ru; english-for-kids.ru; puzzle-english.com";"федеральные EdTech-бренды; одна страница — рейтинг «лучшие онлайн-школы» от самой школы (Инглекс); возрастной диапазон в title"
онлайн курсы английского для детей;Алиса (Поиск с Алисой / Алиса AI);2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
онлайн курсы английского для детей;ChatGPT;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
онлайн курсы английского для детей;GigaChat;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
бухгалтерское сопровождение ИП стоимость в месяц;"WebSearch (поиск инструмента агента; не Яндекс, не Алиса; вероятно не российский индекс)";2026-09-25;"от 3990–5990 ₽/мес; тарифы 12 000–27 000 ₽ в зависимости от числа операций и системы налогообложения";"tbank.ru/business; fingu.ru; buh.bg63.ru (Самара); buhclear.ru; ac-g.ru (2 стр., СПб); profbuh.ru; fep1.ru; vlasovaprof.ru";"9 из 9 — страницы «цены/тарифы» с таблицами; банк (Т-Банк) на 1-м месте; география смешана (Москва, СПб, Самара), т.к. город не указан; сводка на английском"
бухгалтерское сопровождение ИП стоимость в месяц;Алиса (Поиск с Алисой / Алиса AI);2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
бухгалтерское сопровождение ИП стоимость в месяц;ChatGPT;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
бухгалтерское сопровождение ИП стоимость в месяц;GigaChat;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
купить диван с доставкой недорого;"WebSearch (поиск инструмента агента; не Яндекс, не Алиса; вероятно не российский индекс)";2026-09-25;"Divano.ru (от 6890 ₽, доставка от 1 дня); Много Мебели; НОНТОН (СПб, гарантия 18 мес.); СТОК ДИВАНОВ (−30–40%); НедорогиеДиваны (от 6090 ₽); Яндекс Маркет; OZON";"mnogomebeli.com; divano.ru; market.yandex.ru (страница поиска); ozon.ru (категория); nonton.ru; mnogomeb.ru; недорогиедиваны.москва; russdivan.ru; stokdivanov.ru";"единственный запрос, где в выдаче маркетплейсы (2 из 9); остальные — магазины/производители с ценой «от» и «бесплатная доставка» в title"
купить диван с доставкой недорого;Алиса (Поиск с Алисой / Алиса AI);2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
купить диван с доставкой недорого;ChatGPT;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
купить диван с доставкой недорого;GigaChat;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
