Ниша;Покупают GEO в РФ (да/нет данных + пример);Типичные запросы к ИИ;Стоимость лида в Директе ₽ (вилка);Источник цены лида (URL);Год кейса;Вердикт;Почему
Кухни;нет данных;(типовые, составлено исследователем) лучшие производители кухонь на заказ в Иркутске | какие фасады выбрать | сколько стоит угловая кухня 3 м на заказ в Иркутске;629–4 900;"https://teletype.in/@simonyanc_a/L5zLTASudNj ; https://capsulapro.ru/case/kejs-322-lida-po-1158r-na-kuhni-pod-zakaz-v-moskve-pri-pomoshhi-kontekstnoj-reklamy-yandeks-direkt/ ; https://solodigital.ru/case/kuhni-na-zakaz ; https://vc.ru/marketing/1519389-keis-prodvizhenie-magazina-premium-kuhon-s-pomoshyu-reklamy-v-yandeks-direkt";2023 (один кейс), остальные н/д;1-я очередь;Чек от 350 тыс. ₽, лид до 5 тыс. ₽, долгий выбор фабрики, локально, без регуляторных рисков
Ремонт квартир;нет данных;(типовые, составлено исследователем) как выбрать бригаду для ремонта в Иркутске и не попасть на мошенников | сколько стоит ремонт однушки под ключ в Иркутске | ремонт в новостройке с фиксированной сметой;310–2 300 (в 2025 году 1 158–2 300);"https://callibri.ru/blog/keys-reklamy-remonta-kvartir-i-domov-pod-klyuch-v-yandeks-direkt-6-stabilnyh-obektov-v-mesyac ; https://pavlyshen.ru/cases/klienty-remont-pod-klyuch-1800/ ; https://dsgroup.agency/kak-udvoit-zayavki-na-remont-kvartir-v-yandeks-direkte-podrobnyj-kejs-s-cziframi-oshibkami-i-pobedami/ ; https://sergeev.direct/keys/keys-remont/";2025;1-я очередь;"Дорогой лид 2025 года, высокий чек, недоверие к подрядчикам → сравнение и советы; целиться в компании «под ключ»"
Натяжные потолки;нет данных;(типовые, составлено исследователем) матовый или сатиновый натяжной потолок | цена натяжного потолка за м² в Иркутске | надёжная компания натяжных потолков;170–1 178;"https://vc.ru/marketing/1825156-keis-natyazhnye-potolki-bolee-100-zayavok-ezhemesyachno-po-1178r ; https://callibri.ru/blog/kejs-prodvizheniya-natyazhnyh-potolkov";н/д;не брать;Дешёвый лид, невысокий чек, выбор по цене замера, мало исследования
Окна и балконы;нет данных;(типовые, составлено исследователем) какие пластиковые окна лучше для Сибири | тёплое остекление балкона в Иркутске | рейтинг оконных компаний Иркутска;893–2 000 (в 2026 году до 7 200);"https://vc.ru/marketing/3044070-lidy-s-avito-stoimost-zayavok ; https://slog.digital/mirovie-okna ; https://sv-digital.com/keisi/zayavki-iz-yandex-okna";2026 (7 200), остальные н/д;2-я очередь;"Лид и договор дорогие (договор 5–11 тыс. ₽), вопрос «какие окна тёплые»; но решают замер, цена, сети и Авито"
Благоустройство и ландшафт;нет данных;(типовые, составлено исследователем) какие растения выживают на участке под Иркутском | автополив и газон под ключ в Иркутске | сколько стоит благоустройство 10 соток;350–1 587;"https://introvert-marketing.ru/zayavky-landshaft/ ; https://vc.ru/marketing/1561701-keis-yandeksdirekt-po-stroitelstvu-terras-i-verand";н/д;2-я очередь;"Высокий чек, но короткий сезон и маленький раздробленный рынок; продавать в связке с каркасными домами"
Клининг;нет данных;(типовые, составлено исследователем) клининг после ремонта в Иркутске, цены | клининговая компания для офиса | химчистка дивана на дому;160–685 (единично 2 562);"https://vc.ru/id1027272/617289-keis-nastroika-yandeks-direkt-dlya-kliningovoi-kompanii-kak-my-poluchaem-zayavki-po-160-rub-19-sentyabrya-2022 ; https://vc.ru/marketing/670104-keis-yandeks-direkt-kliningovye-uslugi-za-mesyac-140-zayavok-po-685-rublei";2022 (один кейс), остальные н/д;не брать;"Дешёвая импульсная услуга, выбор по цене и картам; исключение — B2B-клининг"
Переезды;нет данных;(типовые, составлено исследователем) квартирный переезд в Иркутске с грузчиками, цена | компания для переезда в другой город | как не нарваться на мошенников-грузчиков;400–770;"https://callibri.ru/blog/mini-keis-o-gruzoperevozkah-ferma ; https://ratingruneta.ru/cases/case-13416/ ; https://vc.ru/id1802507/1746854-keis-yandeks-direkt-dlya-gruzoperevozok-76-celevyh-lidov-po-770-rublei ; https://t4ka.ru/keys-uslugi-gruzchikov";2024 (один кейс), остальные н/д;не брать;Срочное решение по цене, чек небольшой, бюджетов нет
Юристы;"да: GEO-кейс юрфирмы (AI-видимость ×2,5 за месяц) https://web-himedia.ru/cases/geo-yuristy-mka ; https://blog.geouseo.ru/geo-optimizaciya-dlya-yuristov-kak-popast-v-otvety-nejrosetej/";"«Какой юрист поможет с банкротством?» (из статьи о GEO для юристов); (типовые, составлено исследователем) юрист по разводу и разделу имущества в Иркутске | юрист по ДТП Иркутск | арбитражный юрист для ООО Иркутск";"220–2 500 (Москва 220–380; регионы 800–2 500)";"https://kondmar.ru/blog/tpost/4knxtd4201-1-817-konversii-po-220-rublei-iz-yandeks ; https://profi-studio.ru/cases/internet-marketing/yandeks-direkt-dlya-yuridicheskikh-uslug-tsentra-litsenzirovaniya/";н/д;2-я очередь;"GEO-кейс в нише есть, выбор через доверие; но частные юристы без бюджета, чувствительны обещания; брать B2B-фирмы по тарифу 39 900"
Банкротство;косвенно: запрос «Какой юрист поможет с банкротством?» в статьях о GEO https://blog.geouseo.ru/geo-optimizaciya-dlya-yuristov-kak-popast-v-otvety-nejrosetej/;"«Какой юрист поможет с банкротством?»; (типовые, составлено исследователем) как списать долги через банкротство в Иркутске, сколько стоит | внесудебное банкротство через МФЦ или суд | проверенные компании по банкротству, не мошенники";"304–2 700 за лид; договор 10 000–29 600";"https://vc.ru/marketing/1688397-keis-27-436-lidov-na-bankrotstvo-po-674-rublya-iz-yandeks-direkta-poluchili-823-zaklyuchennyh-dogovora ; https://an-sale.online/case-leads-na-banrotstvo-fiz-lic-2395-cht-po-304-rub-iz-yandex-direkta ; https://blog.tochkadostupa.pro/mini-kejs-lidy-na-bankrotstvo-fizicheskih-lits-po-2700-rublej/ ; https://www.sostav.ru/blogs/289827/90064";2024–2025;2-я очередь;"Договор до 30 тыс. ₽, миллионные бюджеты, аудит окупается 1–2 договорами; но репутационные и регуляторные риски, федеральная конкуренция; только B2B-тариф"
Бухгалтерия;нет данных;(типовые, составлено исследователем) как выбрать бухгалтерскую компанию на аутсорс для ООО на УСН | бухобслуживание ИП в Иркутске, цены | надёжные бухфирмы Иркутска;~1 200;"https://vc.ru/marketing/1370515-zayavki-na-uslugi-vedeniya-buhgalterii-na-autsorsinge-cherez-yandeks-direkt-prakticheskii-keis ; https://workspace.ru/cases/keys-prodvizheniya-buhgalterskih-uslug-v-yandeks-direkt-testovaya-kampaniya/";2020 (один кейс), остальные н/д;2-я очередь;"Высокий LTV (от 15 тыс. ₽/мес), аудитория предпринимателей пользуется ИИ; но малые бюджеты бухфирм"
Психологи;нет данных;(типовые, составлено исследователем) как выбрать психолога и не нарваться на шарлатана | семейный психолог в Иркутске | психотерапевт по тревожности онлайн;213–1 807;"https://t4ka.ru/prodvizhenie-v-yandeks/tpost/l32yr73rk1-keis-klienti-iz-yandeks-direkt-po-474r-d ; https://dmitry-bodrov.ru/blog/keis-psiholog-yandex-direct-rpp";н/д;не брать;Частная практика без бюджета, онлайн (не локально), граница с медициной
Репетиторы и школы;нет данных;(типовые, составлено исследователем) лучшие онлайн-школы подготовки к ЕГЭ по профильной математике | репетитор по английскому для ребёнка в Иркутске | курсы ОГЭ в Иркутске, отзывы;400–3 500 (клиент 4 640);"https://nomias.ru/keys_po_onlayn_shkole_ege ; https://adsea.ru/case_onlineschool_99ballov ; https://sharonovnikita.ru/cases/englishnow";н/д;2-я очередь;"Федеральные онлайн-школы: дорогой лид, частый вопрос к ИИ (B2B-тариф); у локальных репетиторов нет бюджета"
Детские центры;смежно: GEO-кейс агентства детских праздников https://habr.com/ru/articles/1069372/;(типовые, составлено исследователем) куда отдать ребёнка 4 лет на развивающие занятия в Иркутске | лучшие детские центры в [районе] | логопед и подготовка к школе в Иркутске;190–600;"https://ze.media/cases/yandeks-biznes-chto-sluchilos-s-detskim-razvivayushchim-centrom ; https://ksandrox.ru/keys/detskij-sad-i-prodlenka/ ; https://www.sostav.ru/blogs/286814/79922";н/д;2-я очередь;"Родители тщательно выбирают, локально; но дешёвый лид и малые бюджеты; брать сети и частные сады"
Фитнес и студии;нет данных;(типовые, составлено исследователем) лучший фитнес-клуб в Иркутске с бассейном | студия пилатеса на реформерах в Иркутске | где заниматься с тренером после травмы;800–3 000;"https://vc.ru/marketing/1809924-krovyu-i-potom-kachaem-yandeks-direkt-kak-fitnes-klub-udvoil-konversiyu-i-snizil-cenu-zayavki-v-3-raza ; https://leadology.ru/cases/kontekstnaya-reklama-studiya-pilatesa";2026 (запуск студии пилатеса), остальные н/д;2-я очередь;"Абонемент — неплохой чек; но выбор по близости к дому и картам; брать премиум и нишевые студии"
Салоны красоты;смежно: GEO для beauty https://spioniro.ru/blog/geo-beauty-industriya/;(типовые, составлено исследователем) мастер по окрашиванию блонд в Иркутске | лучший салон в центре Иркутска | аппаратный маникюр недорого;363–691;"https://inwy.ru/blog/kejs-15-zayavok-v-salon-krasoty-za-5-dnej-cherez-yandeks-direkt-byudzhet-1200%E2%82%BD-den ; https://vc.ru/marketing/2924626-yandeks-direkt-dlya-salonov-krasoty";н/д;не брать;Дешёвый лид, выбор по мастеру, соцсетям и картам, малые бюджеты («9 из 10 кампаний не окупаются»)
Event и банкетные залы;смежно: GEO-кейс агентства детских праздников https://habr.com/ru/articles/1069372/;(типовые, составлено исследователем) банкетный зал на 50 человек для свадьбы в Иркутске | где провести корпоратив на 30 человек | площадка для выездной регистрации на Байкале;127–1 150;"https://t4ka.ru/keys-arenda-teplohoda-moskva ; https://t4ka.ru/reklama-banketov ; https://vc.ru/marketing/1850053-keis-prodvizhenie-banketnogo-zala-marsala-v-spb-lidogeneraciya-180-zayavok-ezhemesyachno-po-nizu-rynka";н/д;2-я очередь;"Высокий чек банкета, площадки сравнивают; но сезонность и визуальный выбор; интересны площадки на Байкале"
Театры и площадки;нет данных;(типовые, составлено исследователем) куда сходить в Иркутске в выходные с детьми | какой спектакль в драмтеатре лучший | концертные площадки Иркутска, афиша;424–450 за билет (продажа);"https://finepromo.ru/case/zapusk-kontekstnoj-i-medijnoj-reklamy-dlya-novosibirskogo-teatra-opery-i-baleta-novat/ ; https://www.sostav.ru/blogs/286814/77851";н/д;не брать;Госзакупки (44-ФЗ/223-ФЗ), низкий чек, в ответах доминируют агрегаторы афиши
